title,link
Somebody used spoofed ADSB signals to raster the meme of JD Vance,https://alecmuffett.com/article/143548
alecmuffett.com,from?site=alecmuffett.com
The UK paid £4.1M for a bookmarks site,https://mahadk.com/posts/ai-skills-hub
mahadk.com,from?site=mahadk.com
Ross Stevens Donates $100M to Pay Every US Olympian and Paralympian $200k,https://www.townandcountrymag.com/leisure/sporting/a70171886/ross-stevens-american-olympians-donation/
townandcountrymag.com,from?site=townandcountrymag.com
Please Don't Say Mean Things about the AI I Just Invested a Billion Dollars In,https://www.mcsweeneys.net/articles/please-dont-say-mean-things-about-the-ai-that-i-just-invested-a-billion-dollars-in
mcsweeneys.net,from?site=mcsweeneys.net
I reverse-engineered Netflix's 4K restrictions,https://github.com/Pickle-Pixel/netflix-force-4k
github.com/pickle-pixel,from?site=github.com/pickle-pixel
